City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Sanghar,PK,26.0466,68.9481,82.47,51,0,14.12,clear sky
293,West Odessa,US,31.8424,-102.4988,89.69,20,1,18.41,clear sky
294,Loksa,EE,59.5764,25.7214,50.41,75,92,15.7,overcast clouds
295,Nhulunbuy,AU,-12.2333,136.7667,74.01,83,68,0.0,broken clouds
296,San Juan,AR,-31.5375,-68.5364,76.3,28,12,7.94,few clouds
297,Koson,UZ,39.0375,65.585,44.92,39,0,5.48,clear sky
298,Udachnyy,RU,66.4167,112.4,29.71,97,100,9.62,light snow
299,Ardahan,TR,41.1087,42.7022,45.79,66,6,2.28,clear sky
300,Bijie,CN,27.3125,105.2942,53.22,94,100,4.72,overcast clouds
301,Alakurtti,RU,66.9672,30.3491,49.62,97,100,4.36,overcast clouds
302,Kushmurun,KZ,52.4503,64.6311,41.65,69,92,9.01,overcast clouds
303,Santa Cruz,BO,-17.8,-63.1667,92.66,52,75,10.36,broken clouds
304,Sarangani,PH,5.4033,125.4636,84.16,74,100,19.71,overcast clouds
305,Challans,FR,46.8436,-1.8749,58.91,78,86,8.59,overcast clouds
306,Tonj,SS,7.2737,28.6822,75.18,83,80,2.35,light rain
307,Pevek,RU,69.7008,170.3133,21.96,92,100,6.62,overcast clouds
308,Geraldton,AU,-28.7667,114.6,50.41,87,75,1.14,broken clouds
309,La Baule-Escoublac,FR,47.2922,-2.364,61.88,73,0,4.61,clear sky
310,Ahipara,NZ,-35.1667,173.1667,52.36,81,69,6.67,broken clouds
311,Charters Towers,AU,-20.1,146.2667,64.53,87,8,7.81,clear sky
312,Hay River,CA,60.8156,-115.7999,39.18,75,75,16.11,light rain
313,Pochutla,MX,15.7432,-96.4661,91.22,53,68,6.67,broken clouds
314,Trairi,BR,-3.2778,-39.2689,85.06,61,66,15.12,broken clouds
315,Balabac,PH,7.9868,117.0645,82.4,79,100,15.99,moderate rain
316,Amudat,UG,1.95,34.95,78.24,54,91,2.93,overcast clouds
317,Shetpe,KZ,44.1667,52.1167,51.89,35,97,4.0,overcast clouds
318,Acaponeta,MX,22.4964,-105.3594,90.41,64,37,5.3,scattered clouds
319,Islamkot,PK,24.6997,70.177,83.91,55,1,10.07,clear sky
320,Auki,SB,-8.7676,160.7034,77.11,87,62,1.63,broken clouds
321,Bocas Del Toro,PA,9.3333,-82.25,88.07,71,21,8.08,few clouds
322,Genthin,DE,52.4,12.1667,49.05,59,85,4.61,overcast clouds
323,Micheweni,TZ,-4.9667,39.8333,77.56,84,51,12.68,broken clouds
324,Esso,RU,55.9333,158.7,21.81,91,76,2.71,broken clouds
325,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,76,40,16.11,volcanic ash
326,Saint-Philippe,RE,-21.3585,55.7679,72.95,87,22,9.19,few clouds
327,Ruteng,ID,-8.6136,120.4721,60.12,76,77,2.06,broken clouds
328,Basco,PH,20.4487,121.9702,81.21,88,100,41.7,moderate rain
329,San Jose De Sisa,PE,-6.6167,-76.6915,91.92,46,68,2.04,broken clouds
330,Vanimo,PG,-2.6741,141.3028,78.85,89,95,4.09,light rain
331,Palaikastron,GR,35.2,26.25,73.74,73,0,7.02,clear sky
332,Yar-Sale,RU,66.8333,70.8333,28.51,91,65,10.11,broken clouds
333,Kurbnesh,AL,41.7797,20.0836,57.83,89,100,7.14,overcast clouds
334,Biak,ID,-0.9131,122.8766,77.58,85,100,4.43,overcast clouds
335,Kismayo,SO,-0.3582,42.5454,78.21,87,54,15.14,broken clouds
336,Etchoropo,MX,26.7667,-109.6667,89.85,36,0,4.68,clear sky
337,High Level,CA,58.5169,-117.136,45.18,46,1,8.14,clear sky
338,Bowen,AU,-20.0167,148.2333,72.39,71,31,9.73,scattered clouds
339,Yantai,CN,37.5333,121.4,61.65,45,99,13.85,light rain
340,Araouane,ML,18.9048,-3.5265,95.36,7,20,8.32,few clouds
341,Gazli,UZ,40.1333,63.45,51.93,29,0,2.68,clear sky
